,index,track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,youtube_id
9196,9196,3fN3OQIymbXfYkCWIAycqo,Georgia Dome (Get Low Sequel),Ying Yang Twins,34,2SS2QYikI1mNohhyPN2v95,Me & My Brother,2003-09-16,90s-2000s Southern Hip Hop / Crunk,5wsWBmQgDtKa8CEg7wTEMi,rap,southern hip hop,0.734,0.69,1,-8.23,0.0351,0.0002,1.16e-05,0.0951,0.668,101.998,365360,s0yPnmR4alk
9197,9197,24UpRW1KQyKGv34jLryUN7,Somebody Like Me,Silkk The Shocker,25,5qoVzbDCwAkaI1HAlMblRh,Made Man,1999-01-01,90s-2000s Southern Hip Hop / Crunk,5wsWBmQgDtKa8CEg7wTEMi,rap,southern hip hop,0.798,0.594,11,-6.784,0.123,0.535,3.24e-06,0.131,0.895,138.011,252000,Qxsb2CfDjLs
9198,9198,5LIuqOmzAiP0RfnwyUPHCu,Duck & Run,C-Murder,20,4peN48bWwUd3554DUSuGhH,Life Or Death,1998-01-01,90s-2000s Southern Hip Hop / Crunk,5wsWBmQgDtKa8CEg7wTEMi,rap,southern hip hop,0.633,0.719,2,-8.625,0.467,0.445,0.0,0.0462,0.719,91.906,171707,B6igHCa5wbc
9199,9199,57bIFs9ipfzIHMZYl24OXD,The Heat,Lil Wayne,34,5POcKy926GgzFHZpGptJac,Tha Carter,2004-01-01,90s-2000s Southern Hip Hop / Crunk,5wsWBmQgDtKa8CEg7wTEMi,rap,southern hip hop,0.661,0.761,7,-5.483,0.417,0.0176,0.0,0.114,0.691,169.631,276840,xNg7FM6uGjA
9200,9200,5yTQ7Vy6EwKwB64Vho90LI,West Savannah,OutKast,44,5ceB3rxgXqIRpsOvVzTG28,Aquemini,1998-09-29,90s-2000s Southern Hip Hop / Crunk,5wsWBmQgDtKa8CEg7wTEMi,rap,southern hip hop,0.8,0.558,0,-6.565,0.432,0.0314,0.0,0.586,0.47,85.047,246280,jPeRi2CNYQA
9201,9201,27LvxLKUfzL6b6WMdOQAVU,"No Shorts, No Losses",Bone Thugs-N-Harmony,38,3r25XjxAmLMOhOWoV6X8N9,E. 1999 Eternal,1995-07-25,90s-2000s Southern Hip Hop / Crunk,5wsWBmQgDtKa8CEg7wTEMi,rap,southern hip hop,0.878,0.468,0,-10.647,0.239,0.0308,0.0,0.173,0.867,141.385,292147,9lbxq5bLQVk
9203,9203,1B4hll6yjAfMO9I30gGZO7,Put Your Money,Ludacris,36,1KushUovbraTDRu9sbO5fg,The Red Light District,2004-01-01,90s-2000s Southern Hip Hop / Crunk,5wsWBmQgDtKa8CEg7wTEMi,rap,southern hip hop,0.7,0.886,11,-4.95,0.324,0.0084,0.0,0.0904,0.53,167.863,253400,i51b-60guIE
9204,9204,6NUga6kum23a1B0CP81huS,Picture Me,C-Murder,23,4peN48bWwUd3554DUSuGhH,Life Or Death,1998-01-01,90s-2000s Southern Hip Hop / Crunk,5wsWBmQgDtKa8CEg7wTEMi,rap,southern hip hop,0.704,0.462,6,-7.93,0.201,0.00033,0.00206,0.0654,0.529,79.118,235267,uE2WtccTvEw
9205,9205,0EvsLFtgq2ToSaH8UXmPK0,It Ain't My Fault,Silkk The Shocker,40,4j2FDRlXnrp2yYoWvM5lE2,Charge It 2 Da Game,1998-01-01,90s-2000s Southern Hip Hop / Crunk,5wsWBmQgDtKa8CEg7wTEMi,rap,southern hip hop,0.721,0.508,9,-10.564,0.363,0.0987,0.0,0.331,0.557,176.018,198995,rhFjc5dcKQI
9206,9206,7e7YCETIA8xoF9IlWR64Xz,Fuck Tha World,Lil Wayne,34,75s3OxagI6DX8OKLKymPLN,Tha Block Is Hot,1999-01-01,90s-2000s Southern Hip Hop / Crunk,5wsWBmQgDtKa8CEg7wTEMi,rap,southern hip hop,0.561,0.763,8,-6.328,0.322,0.0846,0.0,0.0622,0.78,82.158,286200,-xil4Ow_sUY
9207,9207,1TpZwINMh0YEKTuvYHG300,Numb Numb,Juvenile,32,1JfdhweOku5xDD78eiid4A,Juve The Great,2003-01-01,90s-2000s Southern Hip Hop / Crunk,5wsWBmQgDtKa8CEg7wTEMi,rap,southern hip hop,0.885,0.697,3,-5.371,0.201,0.0927,0.000205,0.0595,0.634,150.498,306653,Q2DhGLmTZQQ
9208,9208,2vmmeHTUtm2seLNMvO7YPs,You Ain't Gotta Lie To Kick It,Silkk The Shocker,18,4j2FDRlXnrp2yYoWvM5lE2,Charge It 2 Da Game,1998-01-01,90s-2000s Southern Hip Hop / Crunk,5wsWBmQgDtKa8CEg7wTEMi,rap,southern hip hop,0.477,0.783,10,-9.097,0.422,0.318,0.0,0.132,0.451,173.696,303533,ip6P9yXToOU
9211,9211,1pN0fH6xi8PP8c2R5H8pVT,Respect Us,Lil Wayne,22,75s3OxagI6DX8OKLKymPLN,Tha Block Is Hot,1999-01-01,90s-2000s Southern Hip Hop / Crunk,5wsWBmQgDtKa8CEg7wTEMi,rap,southern hip hop,0.742,0.891,9,-7.577,0.0584,0.172,0.000281,0.069,0.708,94.016,301333,nIUOFnECyfw
9213,9213,1myUmsHZJT8zr0PsgkfntS,Armageddon,Ying Yang Twins,18,2SS2QYikI1mNohhyPN2v95,Me & My Brother,2003-09-16,90s-2000s Southern Hip Hop / Crunk,5wsWBmQgDtKa8CEg7wTEMi,rap,southern hip hop,0.744,0.628,1,-6.545,0.101,0.0388,0.0,0.272,0.697,137.974,242773,zZLRcBbd1Js
9214,9214,0rceuwdoOmzDr90MuN1vxz,Tho Dem Wraps,Nelly,35,5v7Icroz1sQsK2sQyLrWzE,Country Grammar,2000-06-27,90s-2000s Southern Hip Hop / Crunk,5wsWBmQgDtKa8CEg7wTEMi,rap,southern hip hop,0.656,0.795,2,-6.859,0.0754,0.0026,0.0068,0.275,0.476,179.643,248467,Fd3VpOwSAI4
9216,9216,0TyJN9PfBK7lecIiMbjWWH,What They Do (feat. BG),T.I.,32,1oFucub5OjyG4XPsDUzhil,Urban Legend,2004-11-29,90s-2000s Southern Hip Hop / Crunk,5wsWBmQgDtKa8CEg7wTEMi,rap,southern hip hop,0.91,0.763,1,-5.275,0.261,0.0563,0.0,0.0686,0.616,119.979,228720,N5sJgDOI8Kg
9217,9217,6pcCOKRhqzGmqHngGQVUKZ,Stop Hatin,Master P,31,699xAzNxlXxgmkycTEqktC,Ghetto D,1997,90s-2000s Southern Hip Hop / Crunk,5wsWBmQgDtKa8CEg7wTEMi,rap,southern hip hop,0.658,0.731,11,-7.275,0.269,0.00917,0.0,0.172,0.519,189.919,304080,tB6HP3ZmLlg
9218,9218,1zuFmAYoY5ZOPRRIxcakUa,Whatcha Wanna Do,Mia X,21,4zfQXy8m725FD6SgIKQ7w7,Mama Drama,1998-10-27,90s-2000s Southern Hip Hop / Crunk,5wsWBmQgDtKa8CEg7wTEMi,rap,southern hip hop,0.709,0.587,11,-8.582,0.107,0.00441,0.0,0.14,0.313,84.94,280200,nDMLE5_de7o
9219,9219,0I7EJmk6S47mpVh73dB02r,1st & 10 (Featuring Infamous 2-0 & Fate Wilson),Ludacris,26,2kT80DHqRtHQzDhQ2RCoIV,Back For The First Time,2000-01-01,90s-2000s Southern Hip Hop / Crunk,5wsWBmQgDtKa8CEg7wTEMi,rap,southern hip hop,0.635,0.946,9,-5.754,0.48,0.0844,0.0,0.143,0.774,156.099,223147,R5pb5-DbCuo
9221,9221,0M9mH33xccGM4ITZIGwX2H,Need Somebody To Talk To,Sexton,42,7pXS1210AXPkd4722GxNYu,Lost My Heart In Hollywood: Chapter 3,2019-12-20,Viral Southern Hip Hop,0DdGqNa18DwYyfIR05OrW1,rap,southern hip hop,0.436,0.599,9,-6.814,0.0941,0.637,2.68e-06,0.105,0.0861,195.906,142041,SZARogIB5uw
9222,9222,28rT6KZftud6P93LetVrPD,Barbie Doll,THE TRASH MERMAIDS,41,5lQPljwSEuzu1XYbmRIKcL,Barbie Doll,2019-11-01,Viral Southern Hip Hop,0DdGqNa18DwYyfIR05OrW1,rap,southern hip hop,0.496,0.819,7,-3.892,0.0793,0.016,3.1e-06,0.0738,0.541,132.04,134240,lE3aSEx3qs4
9223,9223,5g6Hb3izCstZQOSOdjSn1o,Where the Moon Hides,GARZA,44,5RAx5FYhq7X14UF8lPmxwJ,Where the Moon Hides,2019-11-22,Viral Southern Hip Hop,0DdGqNa18DwYyfIR05OrW1,rap,southern hip hop,0.609,0.75,0,-7.109,0.0422,0.3,0.362,0.189,0.0983,105.019,214360,aEbW5aDbjMw
9224,9224,6nYonr9Dh3CoNxtLBwv8N0,40 Bandz,Ducko McFli,45,38Z4QE98E1MpWECQwoMmlE,40 Bandz,2019-12-12,Viral Southern Hip Hop,0DdGqNa18DwYyfIR05OrW1,rap,southern hip hop,0.729,0.607,6,-8.324,0.043,0.0361,0.0,0.119,0.288,129.941,192160,XtkP3IOu5NM
9225,9225,0khWxmAK6bqjIBygLX2XOD,Forever Scarred,FG Famous,40,6kzBcezrNcsCGv5oiG0ClB,Forever Scarred,2018-11-16,Viral Southern Hip Hop,0DdGqNa18DwYyfIR05OrW1,rap,southern hip hop,0.819,0.739,1,-3.306,0.227,0.277,0.0,0.126,0.526,129.82,181032,TnWtmA4O4zg
9226,9226,7elVjOsjavNKmAMZOT89Od,Sweet Sweet,Taliwhoah,49,3n2sakpYZBVvBektiaLrNc,Another Dimension,2019-11-22,Viral Southern Hip Hop,0DdGqNa18DwYyfIR05OrW1,rap,southern hip hop,0.706,0.579,5,-9.573,0.311,0.0768,0.21,0.0419,0.465,200.095,235905,VYEt2y_yN_s
9227,9227,1keGYGPALaVsqTGfOAjy6Y,I'm Winnin',Hunidrack6,37,5BGci2697Hll2Lsmq898Hj,Bag Fase,2019-03-18,Viral Southern Hip Hop,0DdGqNa18DwYyfIR05OrW1,rap,southern hip hop,0.669,0.756,7,-5.949,0.291,0.00834,0.0,0.108,0.228,95.882,151954,lUXnBme9G10
9228,9228,6uOv0px1MsNt6ejd6Plc6B,Blue,Dolo Tonight,47,0uyZ7KDQm1fowm0g1hKS8X,Blue,2019-09-03,Viral Southern Hip Hop,0DdGqNa18DwYyfIR05OrW1,rap,southern hip hop,0.747,0.7,2,-7.359,0.287,0.465,1.84e-06,0.144,0.53,87.979,190909,vXnJlauXdUY
9229,9229,0koUxbhFiJ6MusLzYV0CQX,50,Mudd Bughatti,28,30JOof1FjmEiHD3Y5RPUe8,50,2019-09-07,Viral Southern Hip Hop,0DdGqNa18DwYyfIR05OrW1,rap,southern hip hop,0.742,0.781,6,-4.781,0.256,0.188,0.0,0.0878,0.537,150.114,154000,N9Gt73H0J18
9230,9230,7xB45O6AdDBcpsrAaYiRuj,Glocks & Drums,Lil Mexico,45,1vIBeqPWRR5uI6S8k6vOho,Glocks & Drums,2019-12-04,Viral Southern Hip Hop,0DdGqNa18DwYyfIR05OrW1,rap,southern hip hop,0.82,0.504,1,-8.533,0.273,0.274,0.0,0.257,0.779,76.538,175752,Dk65Sk6_o-I
9231,9231,0PIYzFAmlxAy0NontCSrzg,Cudos,Breadwinna Gdawg,38,6HtVLQLvHphZp2l99O59Ti,Cudos,2019-12-04,Viral Southern Hip Hop,0DdGqNa18DwYyfIR05OrW1,rap,southern hip hop,0.864,0.601,2,-7.4,0.553,0.18,0.0,0.051,0.538,124.07,148032,uLgiko_2IPU
9232,9232,3v8QqKguRLsoL93Xpi0feB,Waiting On A Better Day,Sexton,37,2svaNlZcRxhFkvHX6Mj5nX,Lost My Heart In Hollywood: Chapter 2,2019-12-06,Viral Southern Hip Hop,0DdGqNa18DwYyfIR05OrW1,rap,southern hip hop,0.749,0.754,2,-4.517,0.0411,0.00119,0.00107,0.169,0.204,149.908,230400,gCsGJZUAIGk
9233,9233,4X8VcTcBTBFUU8ucu0pBGS,WORDS,Deanna Brooke,40,63xZ0fFnoHKbC4bCGh2fp3,WORDS,2019-07-26,Viral Southern Hip Hop,0DdGqNa18DwYyfIR05OrW1,rap,southern hip hop,0.701,0.419,0,-7.877,0.0477,0.503,0.0,0.0998,0.228,131.063,228352,NqspVdQAY6Y
9234,9234,2B4WMojjlOZ9taxVw8MkMg,TALK,Ella Collier,38,4U66zAcOiByNkwPSGqOx0E,TALK,2019-11-07,Viral Southern Hip Hop,0DdGqNa18DwYyfIR05OrW1,rap,southern hip hop,0.773,0.527,0,-9.404,0.15,0.106,0.0,0.279,0.413,97.96,188575,xbzrVmLY3y8
9235,9235,32Kmk71OPA0laee858aZoV,Love Da Way,JonEcks,37,0RheOpJbtpT1A7SDPbprEl,Hearing Colors Tasting Sounds,2019-01-31,Viral Southern Hip Hop,0DdGqNa18DwYyfIR05OrW1,rap,southern hip hop,0.836,0.377,2,-4.731,0.289,0.0446,0.000536,0.311,0.67,94.838,141505,aWUzuaBqufo
9236,9236,6e9biVAugkOfydEN8OiJpi,Pose (feat. Lil Uzi Vert),Yo Gotti,68,6nIe8wxpDcAzUJVj4v2v5r,Pose (feat. Lil Uzi Vert),2019-08-23,Viral Southern Hip Hop,0DdGqNa18DwYyfIR05OrW1,rap,southern hip hop,0.944,0.613,10,-5.999,0.291,0.00818,0.0,0.0893,0.328,120.102,170156,LpwOWUHGt2o
9238,9238,1Tk4KVBLxD8CMAy6vJoDF3,Pookie (feat. Lil Pump) - Remix,Aya Nakamura,66,0jyCBzd1EswEJ3erS61cT3,Pookie (feat. Lil Pump) [Remix],2019-08-02,Viral Southern Hip Hop,0DdGqNa18DwYyfIR05OrW1,rap,southern hip hop,0.889,0.646,6,-7.236,0.074,0.0412,0.0,0.0798,0.584,98.005,169687,ilmZW-dZNbk
9240,9240,0qk9b7oyVmgVVG0P2shD0o,Behind Me,Lil Bike,35,2UYa5QQn6lwMj0Kgz6WcoP,Behind Me,2019-11-01,Viral Southern Hip Hop,0DdGqNa18DwYyfIR05OrW1,rap,southern hip hop,0.874,0.758,0,-6.691,0.374,0.00343,0.0,0.105,0.823,126.056,201352,UEg7o_7AARs
9241,9241,44vw9JyAvl32lVEEyHN5xw,Baguettes (feat. Gunna),Smokepurpp,53,3mUsu81yP8tn801q8jUXy0,Lost Planet 2.0,2019-05-10,Viral Southern Hip Hop,0DdGqNa18DwYyfIR05OrW1,rap,southern hip hop,0.861,0.63,7,-8.953,0.0518,0.109,0.0,0.0955,0.75,139.956,166000,nsFHMgb570Y
9242,9242,2xIcZCsRG47gRJLTXENYPn,Once Again,Quality Control,51,19z8fbMaBbjvUtpRlJvEqc,Once Again,2019-08-09,Viral Southern Hip Hop,0DdGqNa18DwYyfIR05OrW1,rap,southern hip hop,0.841,0.884,10,-4.029,0.252,0.201,0.0,0.311,0.783,103.998,170048,tVHbXhKyLF8
9243,9243,2IlL3qHdBURCke78uEdGnM,CHECK,Kennedy Stephens,49,11nJ3iDQLuz6c3VHbJgK7M,CHECK,2019-09-23,Viral Southern Hip Hop,0DdGqNa18DwYyfIR05OrW1,rap,southern hip hop,0.582,0.579,1,-7.791,0.0595,0.0128,0.343,0.175,0.499,140.045,178286,D5WglZly_UE
9244,9244,0S9WfKtYCBk3OkJ5SNrKQM,Year of the Update,Swim.,35,5jTWRwU5Qcz20xQnSPhoVc,Year of the Update,2019-11-22,Viral Southern Hip Hop,0DdGqNa18DwYyfIR05OrW1,rap,southern hip hop,0.738,0.539,9,-9.957,0.221,0.236,0.00758,0.114,0.367,174.982,139171,2X9MmjBZTQY
9245,9245,1kzCW1BcPju60Af3H3x3pA,Yung World,YunginReckless,36,2qqn6pA4CErxTeSgaDhIgs,Yung World,2019-11-25,Viral Southern Hip Hop,0DdGqNa18DwYyfIR05OrW1,rap,southern hip hop,0.694,0.487,0,-4.838,0.175,0.111,0.0,0.113,0.205,139.986,164587,8Y3DuoDsn9g
9246,9246,3NqBqTUzf0JJD8hdh2vKEQ,Winnie Tha Pxxh,Gxx,37,2mouObuKbt3QEvsqiQA23F,Winnie Tha Pxxh,2019-08-23,Viral Southern Hip Hop,0DdGqNa18DwYyfIR05OrW1,rap,southern hip hop,0.666,0.711,9,-8.05,0.07,0.209,0.000656,0.105,0.573,140.041,171429,KTG6CiEHI34
9247,9247,0wKro5Y12zpbXFaIBo9AVx,Pink Lemonade,Dolo Tonight,41,76q2eaxTMLyaHgmzmF2dXE,Pink Lemonade,2019-09-01,Viral Southern Hip Hop,0DdGqNa18DwYyfIR05OrW1,rap,southern hip hop,0.865,0.617,11,-7.639,0.0817,0.112,1.21e-06,0.0959,0.788,139.926,156000,yKMgLL7bAC0
9248,9248,0W1ZfgXpC23RYQPDq7RM5I,"Pink Toes (Offset, DaBaby feat. Gunna)",Quality Control,70,59zpaLOByFkJhc9D5Xqna9,Quality Control: Control The Streets Volume 2,2019-08-16,Viral Southern Hip Hop,0DdGqNa18DwYyfIR05OrW1,rap,southern hip hop,0.957,0.767,0,-5.116,0.115,0.0525,0.0,0.117,0.577,110.508,217220,PPAJRSSldrY
9250,9250,77D5OIsNqMQcFLIhKOPZuq,I Bleed Stars,All Fires,38,1M067FbT0qR9V5yV6nKFAP,I Bleed Stars,2019-04-12,Viral Southern Hip Hop,0DdGqNa18DwYyfIR05OrW1,rap,southern hip hop,0.389,0.796,1,-3.782,0.0314,0.102,0.0,0.112,0.3,67.956,180662,4lkPSKlhIfA
9251,9251,24p4TAI0wH4PMd0vv1OstQ,Too High,Dolo Tonight,33,0LkQ7c6eG2l3PXfeXquvMD,Too High,2019-09-01,Viral Southern Hip Hop,0DdGqNa18DwYyfIR05OrW1,rap,southern hip hop,0.688,0.884,10,-5.497,0.137,0.12,3.23e-06,0.0824,0.6,77.277,87120,pMRWIZynH8c
9252,9252,0CtkjgZpkgnW7U6WmHsakD,It's Like That,Run–D.M.C.,61,3bRdFxQZdU5g6VjLq8KaU7,The Greatest Hits,2002-09-10,◤ Hip Hop Dance Music – Urban – Trap – Breaking Locking Popping Bopping – WOD – World of Dance,0Hr2h94pKN8QAGVAgD6BsD,rap,southern hip hop,0.852,0.874,7,-11.208,0.0427,0.0168,0.45,0.133,0.666,129.029,250627,TLGWQfK-6DY
9255,9255,3jagJCUbdqhDSPuxP8cAqF,Work It,Missy Elliott,70,6DeU398qrJ1bLuryetSmup,Under Construction,2002-11-11,◤ Hip Hop Dance Music – Urban – Trap – Breaking Locking Popping Bopping – WOD – World of Dance,0Hr2h94pKN8QAGVAgD6BsD,rap,southern hip hop,0.884,0.677,1,-5.603,0.283,0.0778,0.0,0.0732,0.584,101.868,263227,cjIvu7e6Wq8
9257,9257,5qTvkDrSfvwDv6RBjjcfQr,Get Busy,Sean Paul,71,3nAwSh2fcp3M8voQKZS2as,Dutty Rock,2002-11-12,◤ Hip Hop Dance Music – Urban – Trap – Breaking Locking Popping Bopping – WOD – World of Dance,0Hr2h94pKN8QAGVAgD6BsD,rap,southern hip hop,0.735,0.824,10,-4.143,0.036,0.615,0.0,0.158,0.726,100.202,211666,HXceurkQcCs
9258,9258,7I4zJamsReVjDMmx8GkH5r,Kingdom Come,Demi Lovato,1,3FXsa2yQb8hhpqvZgNKXay,Confident,2015-10-16,◤ Hip Hop Dance Music – Urban – Trap – Breaking Locking Popping Bopping – WOD – World of Dance,0Hr2h94pKN8QAGVAgD6BsD,rap,southern hip hop,0.563,0.809,5,-5.09,0.0768,0.0276,0.0,0.365,0.275,176.029,244014,p0f7f2_gvSI
9259,9259,4LmzPJDil70LpiApWfOI6O,Milkshake,Kelis,55,2pPNC9cSF3mhMZcT7t3iw7,The Hits,2008,◤ Hip Hop Dance Music – Urban – Trap – Breaking Locking Popping Bopping – WOD – World of Dance,0Hr2h94pKN8QAGVAgD6BsD,rap,southern hip hop,0.887,0.774,1,-6.108,0.0434,0.00933,0.0213,0.159,0.826,113.0,182813,pGL2rytTraA
9260,9260,0NTMtAO2BV4tnGvw9EgBVq,Bitch Better Have My Money,Rihanna,75,4S8F794ucXJcAtycwOZgR9,Bitch Better Have My Money,2015-03-26,◤ Hip Hop Dance Music – Urban – Trap – Breaking Locking Popping Bopping – WOD – World of Dance,0Hr2h94pKN8QAGVAgD6BsD,rap,southern hip hop,0.781,0.728,1,-4.981,0.0621,0.0509,1.94e-06,0.257,0.395,102.99,219306,acoknuTpPOM
9262,9262,2JI71GHwq2LN8mtq3iCLYo,CoCo,O.T. Genasis,64,0sFq10gbnEw519SPeozbaY,CoCo,2014-11-10,◤ Hip Hop Dance Music – Urban – Trap – Breaking Locking Popping Bopping – WOD – World of Dance,0Hr2h94pKN8QAGVAgD6BsD,rap,southern hip hop,0.886,0.628,8,-5.949,0.131,0.00215,1.15e-05,0.31,0.178,119.906,239574,6vYnas6q3Sg
9263,9263,0YtPUj1uKaCccyr4ubrX3K,Glow Up,Meek Mill,35,630MUNZG5k28L3lEYJRcQd,Glow Up,2017-05-22,◤ Hip Hop Dance Music – Urban – Trap – Breaking Locking Popping Bopping – WOD – World of Dance,0Hr2h94pKN8QAGVAgD6BsD,rap,southern hip hop,0.741,0.792,5,-4.143,0.113,0.0862,0.0,0.113,0.593,76.075,210429,V0fCTKM9exk
9264,9264,7ouItOD31hjhdOYeIBcQaR,The Water Dance (feat. Pitbull),Chris Porter,44,56fFdRkw9zzrczPFTm1c0A,The Water Dance (feat. Pitbull),2015-07-14,◤ Hip Hop Dance Music – Urban – Trap – Breaking Locking Popping Bopping – WOD – World of Dance,0Hr2h94pKN8QAGVAgD6BsD,rap,southern hip hop,0.88,0.796,7,-5.537,0.106,0.173,0.0,0.199,0.7,105.065,222770,N7UO5bKmTcY
9265,9265,5s6YxDJaHIz08u1Wj0KGnZ,Mek It Bunx Up,DeeWunn,52,0qDfRYYLE1rFeBFE9cZpdK,Mek it Bunx Up (feat. Marcy Chin) - Single,2013-10-03,◤ Hip Hop Dance Music – Urban – Trap – Breaking Locking Popping Bopping – WOD – World of Dance,0Hr2h94pKN8QAGVAgD6BsD,rap,southern hip hop,0.947,0.806,11,-4.191,0.296,0.00815,0.0,0.0811,0.634,99.999,215700,bISrFdQ5X4I
9266,9266,0qof4XKrb3VLXVXnkvsTmg,Lay Up,Future,0,25DWyGdfIlaI31hw9QYDOh,Beast Mode,2016-01-15,◤ Hip Hop Dance Music – Urban – Trap – Breaking Locking Popping Bopping – WOD – World of Dance,0Hr2h94pKN8QAGVAgD6BsD,rap,southern hip hop,0.532,0.604,7,-7.273,0.348,0.371,0.0,0.114,0.538,95.307,167160,xc3lse938xA
9267,9267,4H4aA1Cg69dB46GWkK74mx,Swine,Lady Gaga,1,705K6lFN9wm3bifelyuQS4,ARTPOP,2013-01-01,◤ Hip Hop Dance Music – Urban – Trap – Breaking Locking Popping Bopping – WOD – World of Dance,0Hr2h94pKN8QAGVAgD6BsD,rap,southern hip hop,0.712,0.861,0,-3.625,0.136,0.0062,3.42e-05,0.634,0.209,127.89,268600,2Abk1jAONjw
9268,9268,2MNKg80wokPjnpRxA80AYY,Dark Horse feat. Juicy J (Originally Performed By Katy Perry) [Karaoke Version],Paris Music,3,5q5cSLemyV9UlHFib5Aq1z,Dark Horse feat. Juicy J (Originally Performed By Katy Perry) [Karaoke Version],2014-02-25,◤ Hip Hop Dance Music – Urban – Trap – Breaking Locking Popping Bopping – WOD – World of Dance,0Hr2h94pKN8QAGVAgD6BsD,rap,southern hip hop,0.75,0.42,8,-9.747,0.0386,0.0651,0.8,0.0778,0.364,131.985,214549,0NV85akrcHo
9269,9269,0jG92AlXau21qgCQRxGLic,One Minute Man (feat. Ludacris),Missy Elliott,56,20t54K6C80QQH7vbcpfJcP,Miss E... So Addictive,2001-05-14,◤ Hip Hop Dance Music – Urban – Trap – Breaking Locking Popping Bopping – WOD – World of Dance,0Hr2h94pKN8QAGVAgD6BsD,rap,southern hip hop,0.622,0.669,9,-8.419,0.329,0.0266,2.97e-06,0.152,0.57,93.839,252987,XayUCLgxS5c
9270,9270,5f8zcDY2HPdhDBmNnA964h,World Boss - Twerk Remix,Twerkteam,31,0Dlq0Eegj0SdWcOiwxxy5n,Best of Twerk Music 2015 (Booty Shake Music),2015-02-20,◤ Hip Hop Dance Music – Urban – Trap – Breaking Locking Popping Bopping – WOD – World of Dance,0Hr2h94pKN8QAGVAgD6BsD,rap,southern hip hop,0.867,0.86,5,-3.422,0.0961,0.13,0.103,0.357,0.331,100.023,223240,09Ceyus6vwY
9271,9271,4AYJCUwrr4qlly9XKdZ4Pj,Diddy Pop,Spol,0,5JnxB7CR8NfXA0HtojNhWL,Self Titled,2014-05-13,◤ Hip Hop Dance Music – Urban – Trap – Breaking Locking Popping Bopping – WOD – World of Dance,0Hr2h94pKN8QAGVAgD6BsD,rap,southern hip hop,0.943,0.931,11,-2.246,0.162,0.0088,0.402,0.057,0.504,100.01,189600,xlEQ16qSwY8
9272,9272,49zD0wr2S3d0lZPib0K4e1,F*ck Up Some Commas,Future,68,0fUy6IdLHDpGNwavIlhEsl,DS2 (Deluxe),2015-07-17,◤ Hip Hop Dance Music – Urban – Trap – Breaking Locking Popping Bopping – WOD – World of Dance,0Hr2h94pKN8QAGVAgD6BsD,rap,southern hip hop,0.874,0.568,11,-5.896,0.224,0.0698,1.38e-05,0.149,0.46,139.995,237400,wKl6umkwKfU
9275,9275,37AJxyHmL3ShqtPnkpbbDN,Birds,Migos,42,56PJDByaunMWwCqs5rV3Nc,No Label II,2014-06-03,◤ Hip Hop Dance Music – Urban – Trap – Breaking Locking Popping Bopping – WOD – World of Dance,0Hr2h94pKN8QAGVAgD6BsD,rap,southern hip hop,0.84,0.561,1,-8.259,0.205,0.0895,0.0,0.362,0.283,132.0,278608,b4gTClz50yE
9276,9276,0tPShxf8VJUH6RBDEP3tVB,Bake Sale (feat. Travis Scott),Wiz Khalifa,58,3O7U5XkgS4HxkAXcukdRfR,Bake Sale (feat. Travis Scott),2016-01-22,◤ Hip Hop Dance Music – Urban – Trap – Breaking Locking Popping Bopping – WOD – World of Dance,0Hr2h94pKN8QAGVAgD6BsD,rap,southern hip hop,0.864,0.551,3,-5.198,0.22,0.144,0.0,0.104,0.38,139.934,238534,rTAZlHGOVo8
9277,9277,63wKtmUg754umO8SglEL79,Jealous,Beyoncé,55,2UJwKSBUz6rtW4QLK74kQu,BEYONCÉ [Platinum Edition],2014-11-24,◤ Hip Hop Dance Music – Urban – Trap – Breaking Locking Popping Bopping – WOD – World of Dance,0Hr2h94pKN8QAGVAgD6BsD,rap,southern hip hop,0.589,0.541,8,-10.087,0.163,0.122,0.00414,0.0882,0.236,133.97,184013,RT66g2dgryM
9278,9278,7j0IXkpqntBOMvC3oe6JMV,Lotta Gang Shit (feat. Young Famous),600 Breezy,13,5OaMxWgTMEzLAWkk8F3wut,Sixobreezo,2015-07-15,◤ Hip Hop Dance Music – Urban – Trap – Breaking Locking Popping Bopping – WOD – World of Dance,0Hr2h94pKN8QAGVAgD6BsD,rap,southern hip hop,0.6,0.634,10,-7.079,0.388,0.228,0.0,0.303,0.256,131.635,204148,lz897dLGtV8
9279,9279,6l4qV9VNeCOesvcLPJMO9y,Faneto,Chief Keef,57,6ddJw3bbxM16cMX4uogNv1,Chiraq Villian,2014-11-18,◤ Hip Hop Dance Music – Urban – Trap – Breaking Locking Popping Bopping – WOD – World of Dance,0Hr2h94pKN8QAGVAgD6BsD,rap,southern hip hop,0.849,0.755,1,-7.399,0.363,0.346,0.0,0.0564,0.393,144.186,206655,XuEx6lNHZjM
